date,station,id,count
2020-01-14,FZS_HARD,FZS_HARD_2,2827
2020-01-14,FZS_LAN*,FZS_LAN*_2,13569
2020-01-14,FZS_LETD,FZS_LETD_2,1517
2020-01-14,FZS_LIMM,FZS_LIMM_2,5357
2020-01-14,FZS_MILI,FZS_MILI_2,3475
2020-01-14,FZS_MYTH,FZS_MYTH_2,462
2020-01-14,FZS_OHM*,FZS_OHM*_2,11196
2020-01-14,FZS_ZEHN,FZS_ZEHN_2,2260
2020-01-15,FZS_ALT*,FZS_ALT*_3,5873
2020-01-15,FZS_ARBO,FZS_ARBO_3,3388
2020-01-15,FZS_CASS,FZS_CASS_3,872
2020-01-15,FZS_HARD,FZS_HARD_3,2785
2020-01-15,FZS_LAN*,FZS_LAN*_3,14179
2020-01-15,FZS_LETD,FZS_LETD_3,1861
2020-01-15,FZS_LIMM,FZS_LIMM_3,5305
2020-01-15,FZS_MILI,FZS_MILI_3,3509
2020-01-15,FZS_MYTH,FZS_MYTH_3,477
2020-01-15,FZS_OHM*,FZS_OHM*_3,10653
2020-01-15,FZS_ZEHN,FZS_ZEHN_3,2186
2020-01-16,FZS_ALT*,FZS_ALT*_4,5768
2020-01-16,FZS_ARBO,FZS_ARBO_4,3259
2020-01-16,FZS_CASS,FZS_CASS_4,834
2020-01-16,FZS_HARD,FZS_HARD_4,2843
2020-01-16,FZS_LAN*,FZS_LAN*_4,14290
2020-01-16,FZS_LETD,FZS_LETD_4,1960
2020-01-16,FZS_LIMM,FZS_LIMM_4,5399
2020-01-16,FZS_MILI,FZS_MILI_4,3923
2020-01-16,FZS_MYTH,FZS_MYTH_4,508
2020-01-16,FZS_OHM*,FZS_OHM*_4,10438
2020-01-16,FZS_ZEHN,FZS_ZEHN_4,2242
2020-01-17,FZS_ALT*,FZS_ALT*_5,5286
2020-01-17,FZS_ARBO,FZS_ARBO_5,2517
2020-01-17,FZS_CASS,FZS_CASS_5,481
2020-01-17,FZS_HARD,FZS_HARD_5,2514
2020-01-17,FZS_LAN*,FZS_LAN*_5,13078
2020-01-17,FZS_LETD,FZS_LETD_5,1072
2020-01-17,FZS_LIMM,FZS_LIMM_5,5848
2020-01-17,FZS_MILI,FZS_MILI_5,3492
2020-01-17,FZS_MYTH,FZS_MYTH_5,379
2020-01-17,FZS_OHM*,FZS_OHM*_5,10571
2020-01-17,FZS_ZEHN,FZS_ZEHN_5,2150
2020-01-18,FZS_ALT*,FZS_ALT*_6,3258
2020-01-18,FZS_ARBO,FZS_ARBO_6,3197
2020-01-18,FZS_CASS,FZS_CASS_6,921
2020-01-18,FZS_HARD,FZS_HARD_6,1899
2020-01-18,FZS_LAN*,FZS_LAN*_6,14574
2020-01-18,FZS_LETD,FZS_LETD_6,1966
2020-01-18,FZS_LIMM,FZS_LIMM_6,7488
2020-01-18,FZS_MILI,FZS_MILI_6,3686
2020-01-18,FZS_MYTH,FZS_MYTH_6,541
2020-01-18,FZS_OHM*,FZS_OHM*_6,8937
2020-01-18,FZS_ZEHN,FZS_ZEHN_6,1998
2020-01-19,FZS_ALT*,FZS_ALT*_7,2474
2020-01-19,FZS_ARBO,FZS_ARBO_7,3538
2020-01-19,FZS_CASS,FZS_CASS_7,1217
2020-01-19,FZS_HARD,FZS_HARD_7,1741
2020-01-19,FZS_LAN*,FZS_LAN*_7,9147
2020-01-19,FZS_LETD,FZS_LETD_7,2320
2020-01-19,FZS_LIMM,FZS_LIMM_7,4328
2020-01-19,FZS_MILI,FZS_MILI_7,1283
2020-01-19,FZS_MYTH,FZS_MYTH_7,586
2020-01-19,FZS_OHM*,FZS_OHM*_7,4208
2020-01-19,FZS_ZEHN,FZS_ZEHN_7,930
2020-01-20,FZS_ALT*,FZS_ALT*_1,5314
2020-01-20,FZS_ARBO,FZS_ARBO_1,2927
2020-01-20,FZS_CASS,FZS_CASS_1,505
2020-01-20,FZS_HARD,FZS_HARD_1,2804
2020-01-20,FZS_LAN*,FZS_LAN*_1,11978
2020-01-20,FZS_LETD,FZS_LETD_1,1226
2020-01-20,FZS_LIMM,FZS_LIMM_1,4469
2020-01-20,FZS_MILI,FZS_MILI_1,3095
2020-01-20,FZS_MYTH,FZS_MYTH_1,466
2020-01-20,FZS_OHM*,FZS_OHM*_1,9372
2020-01-20,FZS_ZEHN,FZS_ZEHN_1,1827
2020-01-21,FZS_ALT*,FZS_ALT*_2,6098
2020-01-21,FZS_ARBO,FZS_ARBO_2,3103
2020-01-21,FZS_CASS,FZS_CASS_2,669
2020-01-21,FZS_HARD,FZS_HARD_2,2597
2020-01-21,FZS_LAN*,FZS_LAN*_2,12441
2020-01-21,FZS_LETD,FZS_LETD_2,1327
2020-01-21,FZS_LIMM,FZS_LIMM_2,5154
2020-01-21,FZS_MILI,FZS_MILI_2,3110
2020-01-21,FZS_MYTH,FZS_MYTH_2,394
2020-01-21,FZS_OHM*,FZS_OHM*_2,9989
2020-01-21,FZS_ZEHN,FZS_ZEHN_2,2321
2020-01-22,FZS_ALT*,FZS_ALT*_3,5327
2020-01-22,FZS_ARBO,FZS_ARBO_3,2372
2020-01-22,FZS_CASS,FZS_CASS_3,416
2020-01-22,FZS_HARD,FZS_HARD_3,2420
